tweet_id,datetime,text,user,likes,retweets,sentiment
btc_00000001,2024-01-01 00:10:06,DCA into Bitcoin = winning strategy 📊,bull_run,206,118,positive
btc_00000002,2024-01-01 00:24:18,Interesting Bitcoin development: Fidelity,diamond_hands,8,4,neutral
btc_00000003,2024-01-01 00:58:26,Bitcoin adoption growing massively! Bullish 📊 🔥,crypto_analyst,120,72,positive
btc_00000004,2024-01-01 00:27:52,BTC pumping hard! This is just the beginning 🔥,technical_ta,147,36,positive
btc_00000005,2024-01-01 01:12:00,Bitcoin transaction fees too high! Unusable! 💸,crypto_trader,133,69,negative
btc_00000006,2024-01-01 01:31:29,"Bitcoin volume increasing, watching closely 👀",defi_degen,29,13,neutral
btc_00000007,2024-01-01 01:39:52,BTC holding steady at Grayscale support level,moon_soon,98,27,neutral
btc_00000008,2024-01-01 01:25:44,Consolidation phase for Bitcoin continues ⏸️,btc_hodler,37,14,neutral
btc_00000009,2024-01-01 01:48:35,"Bitcoin scam, government will ban it! ⚠️",sats_stacker,72,36,negative
btc_00000010,2024-01-01 02:02:29,BTC pumping hard! This is just the beginning 🔥,crypto_bull,159,76,positive
btc_00000011,2024-01-01 02:45:58,"Bitcoin will hit $62k this year, mark my words! 📈",crypto_trader,78,58,positive
btc_00000012,2024-01-01 02:53:10,"Bitcoin will hit $65k this year, mark my words! 📈 💰",moon_soon,104,72,positive
btc_00000013,2024-01-01 03:28:22,ANALYZING BITCOIN CHART PATTERNS TODAY 📈,moon_soon,390,21,neutral
btc_00000014,2024-01-01 03:41:42,"BTC dump incoming, get out while you can! 🔻",technical_ta,277,11,negative
btc_00000015,2024-01-01 04:15:23,Study shows: Bitcoin volatility decreasing over time,whale_watcher,12,19,neutral
btc_00000016,2024-01-01 05:56:06,Bitcoin to the moon! 🚀 #BTC #crypto,bull_run,216,57,positive
btc_00000017,2024-01-01 05:25:27,Bitcoin looking strong at $50 resistance broken! 👀,sats_stacker,201,54,positive
btc_00000018,2024-01-01 06:14:04,BTC pumping hard! This is just the beginning 🔥 🚨,bull_run,195,45,positive
btc_00000019,2024-01-01 06:06:45,Just stacked more sats! Bitcoin only 🧡 💯,trading_pro,269,90,positive
btc_00000020,2024-01-01 07:44:20,"Crypto winter is here, Bitcoin going to $32 🥶",bull_run,61,29,negative
btc_00000021,2024-01-01 07:14:32,"Bitcoin volume increasing, watching closely 👀",hodl_gang,64,12,neutral
btc_00000022,2024-01-01 08:39:05,Bitcoin to the moon! 🚀 #BTC #crypto,btc_hodler,211,71,positive
btc_00000023,2024-01-01 08:46:38,BTC technical analysis shows strong uptrend ↗️,defi_degen,229,58,positive
btc_00000024,2024-01-01 09:01:14,Technical analysis shows Bitcoin crash to $33 📉,fundamental,282,55,negative
btc_00000025,2024-01-01 09:20:11,"Bitcoin = ponzi scheme, wake up people! ⚠️",defi_degen,145,30,negative
btc_00000026,2024-01-01 09:11:37,Bitcoin to the moon! 🚀 #BTC #crypto,trading_pro,87,53,positive
btc_00000027,2024-01-01 09:27:11,"Bitcoin dead, time to move on 💀",crypto_skeptic,165,27,negative
btc_00000028,2024-01-01 10:23:25,Sold all my BTC before the crash! Dodged bullet 😅,crypto_analyst,146,43,negative
btc_00000029,2024-01-01 10:01:48,Bitcoin fear & greed at extreme levels! Crash coming 😰,crypto_analyst,269,25,negative
btc_00000030,2024-01-01 10:16:24,"Bitcoin volume increasing, watching closely 👀",defi_degen,52,11,neutral
btc_00000031,2024-01-01 11:09:58,Bitcoin adoption growing massively! Bullish 📊,diamond_hands,51,56,positive
btc_00000032,2024-01-01 11:25:47,Bitcoin currently trading at $43989 📊,satoshi_fan,44,13,neutral
btc_00000033,2024-01-01 11:07:24,Long-term Bitcoin holders not selling 🔒,hodl_gang,21,16,neutral
btc_00000034,2024-01-01 12:44:23,Smart money accumulating Bitcoin quietly 👀,technical_ta,371,84,positive
btc_00000035,2024-01-01 12:40:45,Bitcoin hashrate at ATH! Network security = bullish 🔒,bull_run,91,69,positive
btc_00000036,2024-01-01 12:42:53,Amazing gains on Bitcoin today! Up 7% 🎉,moon_soon,84,50,positive
btc_00000037,2024-01-01 13:33:58,"Bitcoin volume increasing, watching closely 👀",diamond_hands,54,21,neutral
btc_00000038,2024-01-01 14:56:59,Market manipulation! Bitcoin not organic growth 😡,fundamental,406,144,negative
btc_00000039,2024-01-01 14:00:06,"Crypto winter is here, Bitcoin going to $33 🥶",bitcoin_maxie,3010,1440,negative
btc_00000040,2024-01-01 14:45:08,Smart money accumulating Bitcoin quietly 👀,diamond_hands,710,200,positive
btc_00000041,2024-01-01 14:51:48,Interesting Bitcoin development: network congestion,diamond_hands,62,11,neutral
btc_00000042,2024-01-01 15:07:17,Bitcoin on-chain metrics showing mixed signals 📊,bitcoin_maxie,143,11,neutral
btc_00000043,2024-01-01 15:48:00,Bitcoin currently trading at $44672 📊,bull_run,153,41,neutral
btc_00000044,2024-01-01 15:48:21,BTC holding steady at MicroStrategy support level,crypto_skeptic,134,45,neutral
btc_00000045,2024-01-01 16:24:39,BTC technical analysis shows strong uptrend ↗️,btc_hodler,515,173,positive
btc_00000046,2024-01-01 16:08:01,Institutions buying Bitcoin = moon time 🌙 🎯,crypto_skeptic,905,249,positive
btc_00000047,2024-01-01 16:30:32,Bitcoin > everything else. Change my mind 💪,btc_miner,504,264,positive
btc_00000048,2024-01-01 16:51:47,Whales dumping BTC! Retail getting rekt 🐋,bitcoin_og,413,14,negative
btc_00000049,2024-01-01 17:59:30,Institutional Bitcoin holdings update: institutional buying BTC,bull_run,38,25,neutral
btc_00000050,2024-01-01 17:19:53,"CRYPTO WINTER IS HERE, BITCOIN GOING TO $35 🥶 ⚡",bull_run,468,14,negative
btc_00000051,2024-01-01 17:48:42,"Bitcoin will hit $56k this year, mark my words! 📈",technical_ta,515,257,positive
btc_00000052,2024-01-01 17:14:46,Analyzing Bitcoin chart patterns today 📈,chart_master,72,28,neutral
btc_00000053,2024-01-01 18:14:59,"Crypto winter is here, Bitcoin going to $27 🥶",hodl_gang,645,36,negative
btc_00000054,2024-01-01 18:14:14,Bitcoin transaction fees too high! Unusable! 💸,chart_master,554,187,negative
btc_00000055,2024-01-01 18:20:24,BITCOIN ADOPTION GROWING MASSIVELY! BULLISH 📊,hodl_gang,302,80,positive
btc_00000056,2024-01-01 18:23:51,Bitcoin crashing hard! Sell everything! 📉,bull_run,314,133,negative
btc_00000057,2024-01-01 19:14:31,INSTITUTIONAL BITCOIN HOLDINGS UPDATE: COINBASE BTC,bull_run,115,13,neutral
btc_00000058,2024-01-01 19:44:07,Bitcoin correlation with stocks remains high 📊 💰,chart_master,207,6,neutral
btc_00000059,2024-01-01 19:51:21,Bitcoin sentiment turning positive! Rally incoming 🚀,crypto_trader,667,185,positive
btc_00000060,2024-01-01 20:52:42,"Bitcoin dead, time to move on 💀 🎯",moon_soon,269,149,negative
btc_00000061,2024-01-01 20:33:46,DCA into Bitcoin = winning strategy 📊,crypto_news,659,223,positive
btc_00000062,2024-01-01 21:55:51,Whales dumping BTC! Retail getting rekt 🐋,btc_hodler,144,38,negative
btc_00000063,2024-01-01 21:13:51,Sold all my BTC before the crash! Dodged bullet 😅 💯,fundamental,458,118,negative
btc_00000064,2024-01-01 21:43:53,Bitcoin to the moon! 🚀 #BTC #crypto,moon_soon,191,88,positive
btc_00000065,2024-01-01 21:37:27,BTC pumping hard! This is just the beginning 🔥,crypto_trader,188,99,positive
btc_00000066,2024-01-01 22:42:42,"BTC dump incoming, get out while you can! 🔻",bitcoin_maxie,268,120,negative
btc_00000067,2024-01-01 22:42:58,"Bitcoin will hit $61k this year, mark my words! 📈",alt_hunter,175,61,positive
btc_00000068,2024-01-01 22:37:11,Bitcoin crashing hard! Sell everything! 📉,crypto_analyst,603,87,negative
btc_00000069,2024-01-01 22:25:35,MARKET UPDATE: BITCOIN SIDEWAYS MOVEMENT CONTINUES,trading_pro,148,13,neutral
btc_00000070,2024-01-01 23:11:55,Regulatory pressure killing Bitcoin! Be careful! ⚖️,crypto_skeptic,109,36,negative
