tweet_id,datetime,text,user,likes,retweets,sentiment,hour,day,text_len,sent_score,text_cleaned,tokens,token_count,sentiment_score,engagement_score,engagement_log,day_of_week,is_weekend,time_period
tweet_1081,2024-01-01 00:00:37,Interesting Bitcoin discussion on the podcast today 💎,btc_trader_2073,18,3,neutral,0,Monday,53,0,interesting bitcoin discussion on the podcast today,"['interesting', 'bitcoin', 'discussion', 'podcast', 'today']",5,0.0,24.0,3.2188758248682006,0,0,night
tweet_6644,2024-01-01 00:29:33,"Bitcoin trading sideways, waiting for a breakout #crypto",btc_trader_2938,10,1,neutral,0,Monday,56,0,bitcoin trading sideways waiting for a breakout crypto,"['bitcoin', 'trading', 'sideways', 'waiting', 'breakout', 'crypto']",6,0.0,12.0,2.5649493574615367,0,0,night
tweet_6797,2024-01-01 00:45:59,Interesting Bitcoin discussion on the podcast today.,btc_trader_3350,81,15,neutral,0,Monday,52,0,interesting bitcoin discussion on the podcast today,"['interesting', 'bitcoin', 'discussion', 'podcast', 'today']",5,0.0,111.0,4.718498871295094,0,0,night
tweet_1454,2024-01-01 00:53:32,"Watching Bitcoin closely, key resistance ahead imo",btc_trader_2756,67,6,neutral,0,Monday,50,0,watching bitcoin closely key resistance ahead imo,"['watching', 'bitcoin', 'closely', 'key', 'resistance', 'ahead', 'imo']",7,0.0,79.0,4.382026634673881,0,0,night
tweet_1006,2024-01-01 01:17:57,Bitcoin developer activity remains strong btw,btc_trader_4265,39,3,neutral,1,Monday,45,0,bitcoin developer activity remains strong btw,"['bitcoin', 'developer', 'activity', 'remains', 'strong', 'btw']",6,0.0,45.0,3.828641396489095,0,0,night
tweet_8337,2024-01-01 01:20:58,Not selling until we hit six figures #BTC,btc_trader_3225,1057,221,positive,1,Monday,41,1,not selling until we hit six figures btc,"['not', 'selling', 'hit', 'six', 'figure', 'btc']",6,1.0,1499.0,7.313220387090301,0,0,night
tweet_8377,2024-01-01 01:41:16,"Bitcoin fixes everything, prove me wrong 📉 $53392 level",btc_trader_4564,255,52,positive,1,Monday,55,1,bitcoin fixes everything prove me wrong level,"['bitcoin', 'fix', 'everything', 'prove', 'wrong', 'level']",6,1.0,359.0,5.886104031450156,0,0,night
tweet_5849,2024-01-01 02:09:52,Comparing Bitcoin to other cryptocurrencies 💎,btc_trader_4317,68,16,neutral,2,Monday,45,0,comparing bitcoin to other cryptocurrencies,"['comparing', 'bitcoin', 'cryptocurrencies']",3,0.0,100.0,4.61512051684126,0,0,night
tweet_1888,2024-01-01 02:30:12,Bitcoin developer activity remains strong #crypto Price: $53791,btc_trader_1248,83,9,neutral,2,Monday,63,0,bitcoin developer activity remains strong crypto price,"['bitcoin', 'developer', 'activity', 'remains', 'strong', 'crypto', 'price']",7,0.0,101.0,4.624972813284271,0,0,night
tweet_2540,2024-01-01 02:33:21,Institutional interest in Bitcoin increasing steadily imo,btc_trader_4473,215,37,neutral,2,Monday,57,0,institutional interest in bitcoin increasing steadily imo,"['institutional', 'interest', 'bitcoin', 'increasing', 'steadily', 'imo']",6,0.0,289.0,5.66988092298052,0,0,night
tweet_2326,2024-01-01 03:09:17,What do you think about current Bitcoin price? thinking $45768 level,btc_trader_1438,183,36,neutral,3,Monday,68,0,what do you think about current bitcoin price thinking level,"['think', 'current', 'bitcoin', 'price', 'thinking', 'level']",6,0.0,255.0,5.545177444479562,0,0,night
